"","ensembl_gene_id","hgnc_symbol","entrezgene"
"152","ENSG00000177757","FAM87B",400728
"153","ENSG00000178585","CTNNBIP1",56998
"154","ENSG00000178821","TMEM52",339456
"155","ENSG00000179023","KLHDC7A",127707
"156","ENSG00000179051","RCC2",55920
"157","ENSG00000179172","HNRNPCL1",343069
"158","ENSG00000179403","VWA1",64856
"159","ENSG00000179743","",729614
"160","ENSG00000179840","PIK3CD-AS1",644997
"161","ENSG00000180758","GPR157",80045
"162","ENSG00000182873","PRKCZ-AS1",100506504
"163","ENSG00000183888","SRARP",149563
"164","ENSG00000184163","C1QTNF12",388581
"165","ENSG00000184908","CLCNKB",1188
"166","ENSG00000185519","FAM131C",348487
"167","ENSG00000186301","MST1P2",NA
"168","ENSG00000186510","CLCNKA",1187
"169","ENSG00000186715","MST1L",NA
"170","ENSG00000186827","TNFRSF4",7293
"171","ENSG00000186891","TNFRSF18",8784
"172","ENSG00000187017","ESPN",83715
"173","ENSG00000187144","SPATA21",374955
"174","ENSG00000187545","PRAMEF10",343071
"175","ENSG00000187583","PLEKHN1",84069
"176","ENSG00000187608","ISG15",9636
"177","ENSG00000187634","SAMD11",148398
"178","ENSG00000187642","PERM1",84808
"179","ENSG00000187730","GABRD",2563
"180","ENSG00000187961","KLHL17",339451
"181","ENSG00000188157","AGRN",375790
"182","ENSG00000188290","HES4",57801
"183","ENSG00000188807","TMEM201",199953
"184","ENSG00000188976","NOC2L",26155
"185","ENSG00000188984","AADACL3",126767
"186","ENSG00000189337","KAZN",23254
"187","ENSG00000189339","SLC35E2B",728661
"188","ENSG00000189409","MMP23B",8510
"189","ENSG00000196581","AJAP1",55966
"190","ENSG00000197241","SLC2A7",155184
"191","ENSG00000197312","DDI2",84301
"192","ENSG00000197530","MIB2",142678
"193","ENSG00000197785","ATAD3A",55210
"194","ENSG00000198744","MTCO3P12",NA
"195","ENSG00000198793","MTOR",2475
"196","ENSG00000198912","C1orf174",339448
"197","ENSG00000198976","MIR429",554210
"198","ENSG00000200344","",NA
"199","ENSG00000200975","RNU1-7P",NA
"200","ENSG00000201135","RNU6-777P",NA
"201","ENSG00000202415","RN7SKP269",NA
"202","ENSG00000202461","",NA
"203","ENSG00000203469","",NA
"204","ENSG00000204362","",400743
"205","ENSG00000204464","C1orf195",NA
"206","ENSG00000204478","PRAMEF20",645425
"207","ENSG00000204479","PRAMEF17",391004
"208","ENSG00000204480","PRAMEF19",645414
"209","ENSG00000204481","PRAMEF14",729528
"210","ENSG00000204501","PRAMEF15",653619
"211","ENSG00000204510","PRAMEF7",441871
"212","ENSG00000204518","AADACL4",343066
"213","ENSG00000204624","DISP3",57540
"214","ENSG00000204859","ZBTB48",3104
"215","ENSG00000205090","TMEM240",339453
"216","ENSG00000205116","TMEM88B",643965
"217","ENSG00000205231","TTLL10-AS1",100506376
"218","ENSG00000207056","RNU1-8P",NA
"219","ENSG00000207607","MIR200A",406983
"220","ENSG00000207776","MIR551A",693135
"221","ENSG00000215014","",NA
"222","ENSG00000215695","RSC1A1",6248
"223","ENSG00000215704","CELA2B",51032
"224","ENSG00000215720","",NA
"225","ENSG00000215785","CFL1P6",NA
"226","ENSG00000215788","TNFRSF25",8718
"227","ENSG00000215790","SLC35E2",9906
"228","ENSG00000215908","CROCCP2",84809
"229","ENSG00000215909","BRWD1P1",NA
"230","ENSG00000215910","C1orf167",NA
"231","ENSG00000215912","TTC34",100287898
"232","ENSG00000215915","ATAD3C",219293
"233","ENSG00000217801","",100288175
"234","ENSG00000219481","NBPF1",101930059
"235","ENSG00000221978","CCNL2",81669
"236","ENSG00000222952","RNA5SP41",NA
"237","ENSG00000223663","NDUFB4P8",NA
"238","ENSG00000223764","",100130417
"239","ENSG00000223823","LINC01342",254099
"240","ENSG00000223989","",NA
"241","ENSG00000224051","CPTP",80772
"242","ENSG00000224174","",NA
"243","ENSG00000224315","RPL7P7",NA
"244","ENSG00000224321","RPL12P14",NA
"245","ENSG00000224338","MTCYBP45",NA
"246","ENSG00000224340","",NA
"247","ENSG00000224459","SLC25A34-AS1",110806303
"248","ENSG00000224621","",NA
"249","ENSG00000224870","",148413
"250","ENSG00000224904","",NA
"251","ENSG00000224966","TBC1D3P6",NA
"252","ENSG00000224969","",NA
"253","ENSG00000225077","LINC00337",NA
"254","ENSG00000225126","",NA
"255","ENSG00000225196","RPL10P17",NA
"256","ENSG00000225285","LINC01770",NA
"257","ENSG00000225387","",NA
"258","ENSG00000225602","MTOR-AS1",100873935
"259","ENSG00000225630","MTND2P28",NA
"260","ENSG00000225710","",NA
"261","ENSG00000225880","LINC00115",79854
"262","ENSG00000225905","",NA
"263","ENSG00000225972","MTND1P23",NA
"264","ENSG00000226029","LINC01772",107984921
"265","ENSG00000226166","",NA
"266","ENSG00000226286","",NA
"267","ENSG00000226374","LINC01345",105376672
"268","ENSG00000226457","",NA
"269","ENSG00000226526","",NA
"270","ENSG00000226545","",NA
"271","ENSG00000226849","",NA
"272","ENSG00000226944","",102724450
"273","ENSG00000226969","",NA
"274","ENSG00000227169","",NA
"275","ENSG00000227232","WASH7P",653635
"276","ENSG00000227372","TP73-AS1",57212
"277","ENSG00000227589","",NA
"278","ENSG00000227634","LINC01714",102724539
"279","ENSG00000227684","CROCCP4",NA
"280","ENSG00000227751","",NA
"281","ENSG00000227775","",NA
"282","ENSG00000227875","RPL23AP89",NA
"283","ENSG00000227950","",NA
"284","ENSG00000227959","",NA
"285","ENSG00000228140","",NA
"286","ENSG00000228150","",NA
"287","ENSG00000228327","",NA
"288","ENSG00000228423","",NA
"289","ENSG00000228463","",NA
"290","ENSG00000228526","MIR34AHG",106614088
"291","ENSG00000228549","",NA
"292","ENSG00000228594","FNDC10",643988
"293","ENSG00000228750","LINC01672",NA
"294","ENSG00000228794","LINC01128",643837
"295","ENSG00000229280","EEF1DP6",NA
"296","ENSG00000229305","",NA
"297","ENSG00000229344","MTCO2P12",NA
"298","ENSG00000229376","CICP3",NA
"299","ENSG00000229484","",NA
"300","ENSG00000229519","",NA
"301","ENSG00000229716","RPL23AP19",NA
"302","ENSG00000230021","",101928626
"303","ENSG00000230035","",NA
"304","ENSG00000230092","",NA
"305","ENSG00000230239","",NA
"306","ENSG00000230337","",105376736
"307","ENSG00000230368","FAM41C",284593
"308","ENSG00000230415","LINC01786",NA
"309","ENSG00000230679","ENO1-AS1",100505975
"310","ENSG00000230699","",NA
"311","ENSG00000231050","",NA
"312","ENSG00000231103","PRAMEF30P",NA
"313","ENSG00000231181","",NA
"314","ENSG00000231510","",NA
"315","ENSG00000231630","",NA
"316","ENSG00000231702","",NA
"317","ENSG00000231789","PIK3CD-AS2",101929074
"318","ENSG00000231868","",NA
"319","ENSG00000232423","PRAMEF6",440561
"320","ENSG00000232456","",NA
"321","ENSG00000232596","LINC01646",NA
"322","ENSG00000232663","",NA
"323","ENSG00000232848","",NA
"324","ENSG00000232912","",NA
"325","ENSG00000233078","",NA
"326","ENSG00000233234","",NA
"327","ENSG00000233268","",NA
"328","ENSG00000233304","LINC01346",NA
"329","ENSG00000233421","LINC01783",100132147
"330","ENSG00000233485","",101927417
"331","ENSG00000233542","",NA
"332","ENSG00000233623","PGAM1P11",NA
"333","ENSG00000233645","",NA
"334","ENSG00000233750","CICP27",NA
"335","ENSG00000233929","MT1XP1",NA
"336","ENSG00000233954","UQCRHL",440567
"337","ENSG00000234064","PRAMEF29P",NA
"338","ENSG00000234166","ARHGEF19-AS1",NA
"339","ENSG00000234396","",NA
"340","ENSG00000234546","LINC01759",102724571
"341","ENSG00000234593","KAZN-AS1",NA
"342","ENSG00000234607","",NA
"343","ENSG00000234619","RPL7P11",NA
"344","ENSG00000234711","TUBB8P11",NA
"345","ENSG00000235054","LINC01777",284661
"346","ENSG00000235084","CHCHD2P6",NA
"347","ENSG00000235098","ANKRD65",441869
"348","ENSG00000235131","",NA
"349","ENSG00000235146","",NA
"350","ENSG00000235169","SMIM1",388588
"351","ENSG00000235241","",NA
"352","ENSG00000235263","",NA
"353","ENSG00000235282","DYNLL1P3",NA
"354","ENSG00000235643","LINC01647",101929181
"355","ENSG00000235829","TBCAP2",NA
"356","ENSG00000236045","",NA
"357","ENSG00000236266","",NA
"358","ENSG00000236269","ENO1-IT1",NA
"359","ENSG00000236423","LINC01134",100133612
"360","ENSG00000236648","",NA
"361","ENSG00000236698","EIF1AXP1",NA
"362","ENSG00000236948","",NA
"363","ENSG00000237094","",NA
"364","ENSG00000237276","ANO7L1",NA
"365","ENSG00000237301","",NA
"366","ENSG00000237330","RNF223",401934
"367","ENSG00000237365","",NA
"368","ENSG00000237402","CAMTA1-IT1",NA
"369","ENSG00000237436","CAMTA1-DT",NA
"370","ENSG00000237445","",NA
"371","ENSG00000237491","",NA
"372","ENSG00000237728","",102725193
"373","ENSG00000237938","",NA
"374","ENSG00000237973","MTCO1P12",NA
"375","ENSG00000238009","",NA
"376","ENSG00000238142","",NA
"377","ENSG00000238173","RPL39P6",NA
"378","ENSG00000238199","UBE2V2P3",NA
"379","ENSG00000238249","HMGN2P17",NA
"380","ENSG00000238260","",NA
"381","ENSG00000238290","",NA
"382","ENSG00000239810","PRAMEF11",440560
"383","ENSG00000240409","MTATP8P1",NA
"384","ENSG00000240731","",NA
"385","ENSG00000241180","",NA
"386","ENSG00000241326","",NA
"387","ENSG00000241563","CORT",1325
"388","ENSG00000242349","NPPA-AS1",NA
"389","ENSG00000242485","MRPL20",55052
"390","ENSG00000242590","",NA
"391","ENSG00000243073","PRAMEF4",400735
"392","ENSG00000243267","RN7SL614P",NA
"393","ENSG00000243539","RN7SL649P",NA
"394","ENSG00000248333","CDK11B",984
"395","ENSG00000248527","MTATP6P1",NA
"396","ENSG00000251503","CENPS-CORT",100526739
"397","ENSG00000251866","SCARNA21B",107397391
"398","ENSG00000251977","RNU6-991P",NA
"399","ENSG00000252151","RNU6-1265P",NA
"400","ENSG00000252404","",NA
"401","ENSG00000252417","RNU7-179P",NA
"402","ENSG00000252956","RNA5SP40",NA
"403","ENSG00000253022","RNU6-731P",NA
"404","ENSG00000253086","RNU6-537P",NA
"405","ENSG00000259961","",NA
"406","ENSG00000260179","",NA
"407","ENSG00000260972","",NA
"408","ENSG00000261135","",NA
"409","ENSG00000261781","LINC01654",101927876
"410","ENSG00000263676","MIR4632",100616438
"411","ENSG00000264293","RN7SL657P",NA
"412","ENSG00000264341","MIR4417",100616489
"413","ENSG00000264881","MIR1273D",100422970
"414","ENSG00000265141","RN7SL451P",NA
"415","ENSG00000265521","MIR5697",100847055
"416","ENSG00000266075","RN7SL574P",NA
"417","ENSG00000266634","MIR3972",100616188
"418","ENSG00000268575","",NA
"419","ENSG00000268869","ESPNP",284729
"420","ENSG00000268991","FAM231B",100133301
"421","ENSG00000269737","",NA
"422","ENSG00000269896","",100129534
"423","ENSG00000269981","",NA
"424","ENSG00000270035","",NA
"425","ENSG00000270171","",NA
"426","ENSG00000270282","",NA
"427","ENSG00000270330","",NA
"428","ENSG00000271264","MZT1P1",NA
"429","ENSG00000271732","",NA
"430","ENSG00000271742","",NA
"431","ENSG00000271746","",NA
"432","ENSG00000271806","",NA
"433","ENSG00000271895","",NA
"434","ENSG00000271989","",NA
"435","ENSG00000272004","",NA
"436","ENSG00000272078","",NA
"437","ENSG00000272106","",NA
"438","ENSG00000272141","",NA
"439","ENSG00000272153","",NA
"440","ENSG00000272161","",NA
"441","ENSG00000272235","",NA
"442","ENSG00000272420","",NA
"443","ENSG00000272426","",NA
"444","ENSG00000272438","",NA
"445","ENSG00000272455","",NA
"446","ENSG00000272482","",NA
"447","ENSG00000272512","",NA
"448","ENSG00000273443","",NA
"449","ENSG00000274481","",NA
"450","ENSG00000276189","",NA
"451","ENSG00000276470","",NA
"452","ENSG00000276747","PADI6",353238
"453","ENSG00000276830","MIR6730",102466722
"454","ENSG00000276869","MIR6729",102466982
"455","ENSG00000277234","RNU1-5P",NA
"456","ENSG00000277726","",NA
"457","ENSG00000278073","MIR6726",102465434
"458","ENSG00000278480","",NA
"459","ENSG00000278791","MIR6723",102465432
"460","ENSG00000279151","",NA
"461","ENSG00000279457","",102723897
"462","ENSG00000279839","",NA
"463","ENSG00000279928","",NA
"464","ENSG00000280113","",NA
"465","ENSG00000280114","",NA
"466","ENSG00000280222","",NA
"467","ENSG00000281937","",NA
"468","ENSG00000282143","",NA
"469","ENSG00000282740","",NA
